URL,District,TradeTime,Cycle,Followers,TotalPrice,Price,Square,Living,Drawing,Kitchen,Bath,Floor,Type,Orientation,Contime,Decoration,Structure,LiftRatio,Elevator,Rights,Subway
https://bj.lianjia.com/chengjiao/101109900505.html,西城,2020.12.19,26,0,450000,null,29.43,null,null,null,null,地下室 1,暂无数据,南,2002,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108524498.html,西城,2020.12.09,142,0,200000,null,12,null,null,null,null,地下室 1,塔楼,南 北,未知,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101107373131.html,西城,2020.12.06,232,7,280000,null,41.73,null,null,null,null,地下室 1,塔楼,南,2008,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101086267785.html,西城,2020.11,2643,0,null,null,34,1,0,1,1,中 20,板塔结合,西,2006,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/BJ0039234720.html,西城,2020.11,暂无数据,0,null,null,34.22,1,0,0,1,中 14,板塔结合,南,2006,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101092094998.html,西城,2020.11,1647,0,null,null,34,1,0,0,0,中 20,板塔结合,西,2008,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/BJ0039272092.html,西城,2020.11,暂无数据,0,null,null,48.3,2,1,1,1,低 17,塔楼,南 西 北,1987,其他,钢混结构,0.25,1,0,1
https://bj.lianjia.com/chengjiao/101109032121.html,西城,2020.10.31,61,9,930000,null,34.22,1,0,1,1,高 12,板塔结合,北,2008,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109617731.html,西城,2020.10.24,1,0,400000,null,41.65,null,null,null,null,地下室,板塔结合,西南,2000,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101105144810.html,西城,2020.10.23,476,4,340000,null,26.65,null,null,null,null,地下室,塔楼,南,2005,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101107198542.html,西城,2020.10.16,194,7,1650000,null,33.39,1,0,1,1,低 18,板楼,北,2011,精装,钢混结构,0.2,1,0,0
https://bj.lianjia.com/chengjiao/101109342968.html,西城,2020.09.27,1,0,350000,null,42.08,null,null,null,null,地下室,板塔结合,南 北,2009,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146358.html,西城,2020.09.24,15,0,360000,null,37.21,null,null,null,null,地下室,暂无数据,东,2005,其他,未知结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101107371895.html,西城,2020.09.19,155,4,460000,null,28.5,null,null,null,null,地下室 1,暂无数据,东,2004,毛坯,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109196752.html,西城,2020.09.14,1,0,420000,null,29.43,null,null,null,null,地下室 1,暂无数据,南,2002,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108832042.html,西城,2020.09.12,30,0,1180000,null,42.2,null,null,null,null,地下室,板塔结合,南,2008,毛坯,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109066568.html,西城,2020.09.06,3,0,350000,null,26,null,null,null,null,地下室,塔楼,东,2007,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101087572546.html,西城,2020.09,2309,0,null,null,37,1,0,0,1,底 12,板塔结合,西,2008,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101087572572.html,西城,2020.09,2309,0,null,null,33,1,0,0,1,底 12,板塔结合,西,2008,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108951258.html,西城,2020.08.27,3,0,490000,null,30.04,null,null,null,null,地下室 1,板楼,南,2000,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108908204.html,西城,2020.08.23,2,0,1340000,null,36.53,null,null,null,null,地下室,板塔结合,南 北,2014,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101104552856.html,西城,2020.08.17,485,0,350000,null,26.65,null,null,null,null,地下室,塔楼,南,2007,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108739921.html,西城,2020.08.10,4,0,650000,null,40.96,null,null,null,null,地下室,暂无数据,南,2003,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108750137.html,西城,2020.08.09,2,0,650000,null,40.96,null,null,null,null,地下室,暂无数据,东,2003,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101107770401.html,西城,2020.08.05,79,15,900000,null,34.22,1,0,0,1,中 20,板塔结合,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101107609756.html,西城,2020.08.02,88,0,450000,null,28.44,null,null,null,null,地下室,暂无数据,西,2014,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108446045.html,西城,2020.07.19,7,0,350000,null,26.65,null,null,null,null,地下室,塔楼,南,2004,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101107721158.html,西城,2020.07.13,60,0,360000,null,26.65,null,null,null,null,地下室,塔楼,南,2005,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101108403232.html,西城,2020.07.11,2,0,350000,null,42.08,null,null,null,null,地下室,板塔结合,东,2011,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109900505.html,西城,2020.12.19,26,0,450000,null,29.43,null,null,null,null,地下室 1,暂无数据,南,2002,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108524498.html,西城,2020.12.09,142,0,200000,null,12,null,null,null,null,地下室 1,塔楼,南 北,未知,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101107373131.html,西城,2020.12.06,232,7,280000,null,41.73,null,null,null,null,地下室 1,塔楼,南,2008,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101086267785.html,西城,2020.11,2643,0,null,null,34,1,0,1,1,中 20,板塔结合,西,2006,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/BJ0039234720.html,西城,2020.11,暂无数据,0,null,null,34.22,1,0,0,1,中 14,板塔结合,南,2006,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101092094998.html,西城,2020.11,1647,0,null,null,34,1,0,0,0,中 20,板塔结合,西,2008,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/BJ0039272092.html,西城,2020.11,暂无数据,0,null,null,48.3,2,1,1,1,低 17,塔楼,南 西 北,1987,其他,钢混结构,0.25,1,0,1
https://bj.lianjia.com/chengjiao/101109032121.html,西城,2020.10.31,61,9,930000,null,34.22,1,0,1,1,高 12,板塔结合,北,2008,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109617731.html,西城,2020.10.24,1,0,400000,null,41.65,null,null,null,null,地下室,板塔结合,西南,2000,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101105144810.html,西城,2020.10.23,476,4,340000,null,26.65,null,null,null,null,地下室,塔楼,南,2005,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101107198542.html,西城,2020.10.16,194,7,1650000,null,33.39,1,0,1,1,低 18,板楼,北,2011,精装,钢混结构,0.2,1,0,0
